country_code,country_name,year,direction,rank,partner_name,pct_share
28,Antigua and Barbuda,2020,exports,1,United States,11.6
28,Antigua and Barbuda,2020,exports,2,Sint Maarten,10.2
28,Antigua and Barbuda,2020,imports,1,United States,52.1
28,Antigua and Barbuda,2020,imports,2,China,7.2
28,Antigua and Barbuda,2020,imports,3,Trinidad and Tobago,4.1
28,Antigua and Barbuda,2024,exports,1,United States,19.2
28,Antigua and Barbuda,2024,exports,2,Sint Maarten,10.8
28,Antigua and Barbuda,2024,exports,3,China,9.8
28,Antigua and Barbuda,2024,imports,1,United States,54.0
28,Antigua and Barbuda,2024,imports,2,China,5.2
28,Antigua and Barbuda,2024,imports,3,Trinidad and Tobago,4.2
32,Argentina,2015,exports,1,Brazil,17.8
32,Argentina,2015,exports,2,United States,6.7
32,Argentina,2015,exports,3,Chile,4.2
32,Argentina,2015,imports,1,Brazil,21.7
32,Argentina,2015,imports,2,China,19.6
32,Argentina,2015,imports,3,United States,13.6
32,Argentina,2020,exports,1,Brazil,14.5
32,Argentina,2020,exports,2,United States,6.0
32,Argentina,2020,exports,3,Chile,5.3
32,Argentina,2020,imports,1,Brazil,20.4
32,Argentina,2020,imports,2,China,20.5
32,Argentina,2020,imports,3,United States,10.9
32,Argentina,2024,exports,1,Brazil,17.1
32,Argentina,2024,exports,2,United States,8.1
32,Argentina,2024,exports,3,Chile,8.0
32,Argentina,2024,imports,1,Brazil,23.6
32,Argentina,2024,imports,2,China,19.2
32,Argentina,2024,imports,3,United States,10.2
51,Armenia,2015,exports,1,United Arab Emirates,0.7
51,Armenia,2015,exports,2,Russian Federation,15.2
51,Armenia,2015,exports,3,"China, Hong Kong SAR",0.4
51,Armenia,2015,imports,1,Russian Federation,30.4
51,Armenia,2015,imports,2,China,9.7
51,Armenia,2015,imports,3,Viet Nam,0.5
51,Armenia,2020,exports,1,United Arab Emirates,3.5
51,Armenia,2020,exports,2,Russian Federation,26.2
51,Armenia,2020,exports,3,"China, Hong Kong SAR",0.2
51,Armenia,2020,imports,1,Russian Federation,33.4
51,Armenia,2020,imports,2,China,14.5
51,Armenia,2020,imports,3,Viet Nam,0.7
51,Armenia,2024,exports,1,United Arab Emirates,40.3
51,Armenia,2024,exports,2,Russian Federation,23.9
51,Armenia,2024,exports,3,"China, Hong Kong SAR",13.5
51,Armenia,2024,imports,1,Russian Federation,55.0
51,Armenia,2024,imports,2,China,9.9
51,Armenia,2024,imports,3,Viet Nam,5.2
533,Aruba,2015,exports,1,Colombia,27.4
533,Aruba,2015,exports,2,Areas nes,14.1
533,Aruba,2015,exports,3,United States,6.9
533,Aruba,2015,imports,1,United States,54.4
533,Aruba,2015,imports,2,Areas nes,13.9
533,Aruba,2015,imports,3,Netherlands,10.4
533,Aruba,2020,exports,1,Colombia,14.5
533,Aruba,2020,exports,2,Areas nes,4.5
533,Aruba,2020,exports,3,United States,29.5
533,Aruba,2020,imports,1,United States,52.6
533,Aruba,2020,imports,2,Areas nes,12.2
533,Aruba,2020,imports,3,Netherlands,16.1
533,Aruba,2024,exports,1,Colombia,46.0
533,Aruba,2024,exports,2,Areas nes,30.3
533,Aruba,2024,exports,3,United States,15.9
533,Aruba,2024,imports,1,United States,50.4
533,Aruba,2024,imports,2,Areas nes,22.0
533,Aruba,2024,imports,3,Netherlands,12.7
36,Australia,2015,exports,1,China,31.9
36,Australia,2015,exports,2,Areas nes,1.0
36,Australia,2015,exports,3,Japan,15.9
36,Australia,2015,imports,1,China,23.0
36,Australia,2015,imports,2,United States,12.8
36,Australia,2015,imports,3,Japan,7.5
36,Australia,2020,exports,1,China,40.2
36,Australia,2020,exports,2,Areas nes,2.1
36,Australia,2020,exports,3,Japan,12.3
36,Australia,2020,imports,1,China,28.8
36,Australia,2020,imports,2,United States,12.3
36,Australia,2020,imports,3,Japan,6.1
36,Australia,2024,exports,1,China,30.1
36,Australia,2024,exports,2,Areas nes,16.3
36,Australia,2024,exports,3,Japan,9.0
36,Australia,2024,imports,1,China,25.5
36,Australia,2024,imports,2,United States,11.7
36,Australia,2024,imports,3,Japan,5.9
40,Austria,2015,exports,1,Germany,29.5
40,Austria,2015,exports,2,United States,6.7
40,Austria,2015,exports,3,Italy,6.2
40,Austria,2015,imports,1,Germany,36.4
40,Austria,2015,imports,2,China,5.9
40,Austria,2015,imports,3,Italy,6.0
40,Austria,2020,exports,1,Germany,30.4
40,Austria,2020,exports,2,United States,6.5
40,Austria,2020,exports,3,Italy,6.2
40,Austria,2020,imports,1,Germany,34.7
40,Austria,2020,imports,2,China,7.1
40,Austria,2020,imports,3,Italy,6.3
40,Austria,2024,exports,1,Germany,29.7
40,Austria,2024,exports,2,United States,8.5
40,Austria,2024,exports,3,Italy,6.1
40,Austria,2024,imports,1,Germany,32.0
40,Austria,2024,imports,2,China,8.2
40,Austria,2024,imports,3,Italy,6.5
31,Azerbaijan,2015,exports,1,Italy,17.8
31,Azerbaijan,2015,exports,2,Sint Maarten,11.7
31,Azerbaijan,2015,exports,3,Russian Federation,3.3
31,Azerbaijan,2015,imports,1,China,5.6
31,Azerbaijan,2015,imports,2,Russian Federation,15.6
31,Azerbaijan,2015,imports,3,Türkiye,12.6
31,Azerbaijan,2020,exports,1,Italy,30.4
31,Azerbaijan,2020,exports,2,Sint Maarten,18.9
31,Azerbaijan,2020,exports,3,Russian Federation,5.2
31,Azerbaijan,2020,imports,1,China,13.2
31,Azerbaijan,2020,imports,2,Russian Federation,18.3
31,Azerbaijan,2020,imports,3,Türkiye,14.6
31,Azerbaijan,2024,exports,1,Italy,41.0
31,Azerbaijan,2024,exports,2,Sint Maarten,14.4
31,Azerbaijan,2024,exports,3,Russian Federation,4.4
31,Azerbaijan,2024,imports,1,China,17.7
31,Azerbaijan,2024,imports,2,Russian Federation,17.2
31,Azerbaijan,2024,imports,3,Türkiye,11.0
44,Bahamas (The),2015,exports,1,United States,83.1
44,Bahamas (The),2015,exports,2,Areas nes,0.6
44,Bahamas (The),2015,exports,3,China,0.1
44,Bahamas (The),2015,imports,1,United States,81.9
44,Bahamas (The),2015,imports,2,Areas nes,3.0
44,Bahamas (The),2015,imports,3,China,0.8
44,Bahamas (The),2020,exports,1,United States,81.3
44,Bahamas (The),2020,exports,2,Areas nes,5.2
44,Bahamas (The),2020,exports,3,China,0.0
44,Bahamas (The),2020,imports,1,United States,79.8
44,Bahamas (The),2020,imports,2,Areas nes,2.8
44,Bahamas (The),2020,imports,3,China,1.5
44,Bahamas (The),2024,exports,1,United States,80.2
44,Bahamas (The),2024,exports,2,Areas nes,18.7
44,Bahamas (The),2024,exports,3,China,0.2
44,Bahamas (The),2024,imports,1,United States,84.6
44,Bahamas (The),2024,imports,2,Areas nes,2.7
44,Bahamas (The),2024,imports,3,China,1.7
48,Bahrain,2015,exports,1,Saudi Arabia,66.9
48,Bahrain,2015,exports,2,United Arab Emirates,6.9
48,Bahrain,2015,exports,3,United States,4.8
48,Bahrain,2015,imports,1,China,9.6
48,Bahrain,2015,imports,2,United Arab Emirates,6.9
48,Bahrain,2015,imports,3,Brazil,2.5
48,Bahrain,2020,exports,1,Saudi Arabia,17.6
48,Bahrain,2020,exports,2,United Arab Emirates,23.0
48,Bahrain,2020,exports,3,United States,6.6
48,Bahrain,2020,imports,1,China,11.3
48,Bahrain,2020,imports,2,United Arab Emirates,5.3
48,Bahrain,2020,imports,3,Brazil,5.1
48,Bahrain,2024,exports,1,Saudi Arabia,23.5
48,Bahrain,2024,exports,2,United Arab Emirates,14.3
48,Bahrain,2024,exports,3,United States,8.4
48,Bahrain,2024,imports,1,China,14.0
48,Bahrain,2024,imports,2,United Arab Emirates,9.4
48,Bahrain,2024,imports,3,Brazil,9.1
50,Bangladesh,2015,exports,1,Germany,14.7
50,Bangladesh,2015,exports,2,United States,19.3
50,Bangladesh,2015,exports,3,France,5.5
50,Bangladesh,2015,imports,1,China,21.5
50,Bangladesh,2015,imports,2,India,12.2
50,Bangladesh,2015,imports,3,Indonesia,4.6
50,Bangladesh,2020,exports,1,Germany,15.9
50,Bangladesh,2020,exports,2,United States,15.2
50,Bangladesh,2020,exports,3,France,4.2
50,Bangladesh,2020,imports,1,China,30.0
50,Bangladesh,2020,imports,2,India,15.7
50,Bangladesh,2020,imports,3,Indonesia,3.3
50,Bangladesh,2024,exports,1,Germany,15.0
50,Bangladesh,2024,exports,2,United States,14.3
50,Bangladesh,2024,exports,3,France,7.0
50,Bangladesh,2024,imports,1,China,33.2
50,Bangladesh,2024,imports,2,India,16.4
50,Bangladesh,2024,imports,3,Indonesia,5.3
52,Barbados,2015,exports,1,Areas nes,15.7
52,Barbados,2015,exports,2,United States,32.6
52,Barbados,2015,exports,3,Jamaica,4.6
52,Barbados,2015,imports,1,United States,39.2
52,Barbados,2015,imports,2,Trinidad and Tobago,15.8
52,Barbados,2015,imports,3,Netherlands,1.5
52,Barbados,2020,exports,1,Areas nes,23.5
52,Barbados,2020,exports,2,United States,13.3
52,Barbados,2020,exports,3,Jamaica,8.2
52,Barbados,2020,imports,1,United States,42.6
52,Barbados,2020,imports,2,Trinidad and Tobago,13.8
52,Barbados,2020,imports,3,Netherlands,5.5
52,Barbados,2024,exports,1,Areas nes,28.5
52,Barbados,2024,exports,2,United States,20.7
52,Barbados,2024,exports,3,Jamaica,6.9
52,Barbados,2024,imports,1,United States,38.5
52,Barbados,2024,imports,2,Trinidad and Tobago,21.1
52,Barbados,2024,imports,3,Netherlands,6.0
112,Belarus,2015,exports,1,China,2.9
112,Belarus,2015,exports,2,Uzbekistan,0.1
112,Belarus,2015,exports,3,Kazakhstan,2.0
112,Belarus,2015,imports,1,China,7.7
112,Belarus,2015,imports,2,Poland,3.6
112,Belarus,2015,imports,3,Germany,4.6
112,Belarus,2020,exports,1,China,2.6
112,Belarus,2020,exports,2,Uzbekistan,0.8
112,Belarus,2020,exports,3,Kazakhstan,2.5
112,Belarus,2020,imports,1,China,10.7
112,Belarus,2020,imports,2,Poland,3.8
112,Belarus,2020,imports,3,Germany,5.2
112,Belarus,2024,exports,1,China,26.0
112,Belarus,2024,exports,2,Uzbekistan,11.0
112,Belarus,2024,exports,3,Kazakhstan,10.2
112,Belarus,2024,imports,1,China,37.9
112,Belarus,2024,imports,2,Poland,13.6
112,Belarus,2024,imports,3,Germany,9.4
56,Belgium,2015,exports,1,Germany,15.2
56,Belgium,2015,exports,2,Netherlands,12.1
56,Belgium,2015,exports,3,France,15.6
56,Belgium,2015,imports,1,Netherlands,21.4
56,Belgium,2015,imports,2,Germany,15.1
56,Belgium,2015,imports,3,France,11.2
56,Belgium,2020,exports,1,Germany,16.6
56,Belgium,2020,exports,2,Netherlands,11.6
56,Belgium,2020,exports,3,France,13.4
56,Belgium,2020,imports,1,Netherlands,19.2
56,Belgium,2020,imports,2,Germany,14.6
56,Belgium,2020,imports,3,France,11.2
56,Belgium,2024,exports,1,Germany,15.2
56,Belgium,2024,exports,2,Netherlands,12.9
56,Belgium,2024,exports,3,France,12.7
56,Belgium,2024,imports,1,Netherlands,23.8
56,Belgium,2024,imports,2,Germany,13.5
56,Belgium,2024,imports,3,France,11.5
84,Belize,2015,exports,1,United Kingdom,26.1
84,Belize,2015,exports,2,United States,38.9
84,Belize,2015,exports,3,Trinidad and Tobago,4.3
84,Belize,2015,imports,1,United States,34.4
84,Belize,2015,imports,2,China,10.1
84,Belize,2015,imports,3,Mexico,10.8
84,Belize,2020,exports,1,United Kingdom,29.6
84,Belize,2020,exports,2,United States,23.5
84,Belize,2020,exports,3,Trinidad and Tobago,4.8
84,Belize,2020,imports,1,United States,40.5
84,Belize,2020,imports,2,China,14.4
84,Belize,2020,imports,3,Mexico,13.0
84,Belize,2024,exports,1,United Kingdom,30.4
84,Belize,2024,exports,2,United States,30.2
84,Belize,2024,exports,3,Trinidad and Tobago,6.6
84,Belize,2024,imports,1,United States,45.0
84,Belize,2024,imports,2,China,17.0
84,Belize,2024,imports,3,Mexico,8.5
204,Benin,2015,exports,1,Bangladesh,7.4
204,Benin,2015,exports,2,India,13.1
204,Benin,2015,exports,3,Pakistan,2.8
204,Benin,2015,imports,1,India,9.6
204,Benin,2015,imports,2,China,10.9
204,Benin,2015,imports,3,France,11.6
204,Benin,2020,exports,1,Bangladesh,38.5
204,Benin,2020,exports,2,India,11.9
204,Benin,2020,exports,3,Pakistan,1.1
204,Benin,2020,imports,1,India,11.5
204,Benin,2020,imports,2,China,11.5
204,Benin,2020,imports,3,France,10.5
204,Benin,2024,exports,1,Bangladesh,37.2
204,Benin,2024,exports,2,India,15.4
204,Benin,2024,exports,3,Pakistan,7.2
204,Benin,2024,imports,1,India,17.1
204,Benin,2024,imports,2,China,12.8
204,Benin,2024,imports,3,France,8.6
60,Bermuda,2015,exports,1,United States,80.8
60,Bermuda,2015,exports,2,Canada,2.0
60,Bermuda,2015,exports,3,United Kingdom,12.1
60,Bermuda,2015,imports,1,United States,65.7
60,Bermuda,2015,imports,2,United Kingdom,3.9
60,Bermuda,2015,imports,3,Canada,14.7
60,Bermuda,2020,exports,1,United States,94.2
60,Bermuda,2020,exports,2,Canada,0.6
60,Bermuda,2020,exports,3,United Kingdom,1.5
60,Bermuda,2020,imports,1,United States,69.9
60,Bermuda,2020,imports,2,United Kingdom,5.0
60,Bermuda,2020,imports,3,Canada,7.9
60,Bermuda,2024,exports,1,United States,89.9
60,Bermuda,2024,exports,2,Canada,2.5
60,Bermuda,2024,exports,3,United Kingdom,2.3
60,Bermuda,2024,imports,1,United States,77.6
60,Bermuda,2024,imports,2,United Kingdom,5.2
60,Bermuda,2024,imports,3,Canada,3.9
64,Bhutan,2015,exports,1,India,72.3
64,Bhutan,2015,exports,2,Republic of Korea,0.0
64,Bhutan,2015,exports,3,Nepal,1.1
64,Bhutan,2015,imports,1,India,72.7
64,Bhutan,2015,imports,2,Singapore,2.2
64,Bhutan,2015,imports,3,China,1.6
64,Bhutan,2020,exports,1,India,90.6
64,Bhutan,2020,exports,2,Republic of Korea,0.0
64,Bhutan,2020,exports,3,Nepal,4.0
64,Bhutan,2020,imports,1,India,75.0
64,Bhutan,2020,imports,2,Singapore,1.2
64,Bhutan,2020,imports,3,China,1.6
64,Bhutan,2024,exports,1,India,91.7
64,Bhutan,2024,exports,2,Republic of Korea,2.7
64,Bhutan,2024,exports,3,Nepal,1.8
64,Bhutan,2024,imports,1,India,81.2
64,Bhutan,2024,imports,2,Singapore,7.1
64,Bhutan,2024,imports,3,China,4.8
68,Bolivia (Plurin. State of),2015,exports,1,Brazil,27.5
68,Bolivia (Plurin. State of),2015,exports,2,China,5.3
68,Bolivia (Plurin. State of),2015,exports,3,Japan,4.6
68,Bolivia (Plurin. State of),2015,imports,1,China,18.1
68,Bolivia (Plurin. State of),2015,imports,2,Brazil,16.4
68,Bolivia (Plurin. State of),2015,imports,3,Argentina,11.8
68,Bolivia (Plurin. State of),2020,exports,1,Brazil,15.9
68,Bolivia (Plurin. State of),2020,exports,2,China,5.1
68,Bolivia (Plurin. State of),2020,exports,3,Japan,7.5
68,Bolivia (Plurin. State of),2020,imports,1,China,22.3
68,Bolivia (Plurin. State of),2020,imports,2,Brazil,16.9
68,Bolivia (Plurin. State of),2020,imports,3,Argentina,10.1
68,Bolivia (Plurin. State of),2024,exports,1,Brazil,16.9
68,Bolivia (Plurin. State of),2024,exports,2,China,14.9
68,Bolivia (Plurin. State of),2024,exports,3,Japan,7.9
68,Bolivia (Plurin. State of),2024,imports,1,China,22.3
68,Bolivia (Plurin. State of),2024,imports,2,Brazil,14.4
68,Bolivia (Plurin. State of),2024,imports,3,Argentina,11.0
70,Bosnia and Herzegovina,2015,exports,1,Croatia,10.5
70,Bosnia and Herzegovina,2015,exports,2,Germany,16.8
70,Bosnia and Herzegovina,2015,exports,3,Serbia,9.5
70,Bosnia and Herzegovina,2015,imports,1,Italy,11.1
70,Bosnia and Herzegovina,2015,imports,2,Germany,12.1
70,Bosnia and Herzegovina,2015,imports,3,Serbia,10.9
70,Bosnia and Herzegovina,2020,exports,1,Croatia,12.9
70,Bosnia and Herzegovina,2020,exports,2,Germany,15.5
70,Bosnia and Herzegovina,2020,exports,3,Serbia,11.6
70,Bosnia and Herzegovina,2020,imports,1,Italy,11.5
70,Bosnia and Herzegovina,2020,imports,2,Germany,12.3
70,Bosnia and Herzegovina,2020,imports,3,Serbia,11.3
70,Bosnia and Herzegovina,2024,exports,1,Croatia,16.1
70,Bosnia and Herzegovina,2024,exports,2,Germany,15.3
70,Bosnia and Herzegovina,2024,exports,3,Serbia,12.1
70,Bosnia and Herzegovina,2024,imports,1,Italy,12.9
70,Bosnia and Herzegovina,2024,imports,2,Germany,11.8
70,Bosnia and Herzegovina,2024,imports,3,Serbia,10.4
72,Botswana,2015,exports,1,United Arab Emirates,5.3
72,Botswana,2015,exports,2,Belgium,19.8
72,Botswana,2015,exports,3,India,12.4
72,Botswana,2015,imports,1,South Africa,65.3
72,Botswana,2015,imports,2,Namibia,14.5
72,Botswana,2015,imports,3,Canada,6.3
72,Botswana,2020,exports,1,United Arab Emirates,21.9
72,Botswana,2020,exports,2,Belgium,21.2
72,Botswana,2020,exports,3,India,20.9
72,Botswana,2020,imports,1,South Africa,58.3
72,Botswana,2020,imports,2,Namibia,7.5
72,Botswana,2020,imports,3,Canada,3.2
72,Botswana,2024,exports,1,United Arab Emirates,29.8
72,Botswana,2024,exports,2,Belgium,17.9
72,Botswana,2024,exports,3,India,12.3
72,Botswana,2024,imports,1,South Africa,65.0
72,Botswana,2024,imports,2,Namibia,7.7
72,Botswana,2024,imports,3,Canada,4.9
76,Brazil,2015,exports,1,China,18.8
76,Brazil,2015,exports,2,United States,13.8
76,Brazil,2015,exports,3,Argentina,6.8
76,Brazil,2015,imports,1,China,17.7
76,Brazil,2015,imports,2,United States,15.5
76,Brazil,2015,imports,3,Germany,5.9
76,Brazil,2020,exports,1,China,32.4
76,Brazil,2020,exports,2,United States,10.3
76,Brazil,2020,exports,3,Argentina,4.1
76,Brazil,2020,imports,1,China,22.1
76,Brazil,2020,imports,2,United States,17.9
76,Brazil,2020,imports,3,Germany,5.8
76,Brazil,2024,exports,1,China,28.0
76,Brazil,2024,exports,2,United States,12.1
76,Brazil,2024,exports,3,Argentina,4.1
76,Brazil,2024,imports,1,China,24.9
76,Brazil,2024,imports,2,United States,15.6
76,Brazil,2024,imports,3,Germany,5.1
96,Brunei Darussalam,2015,exports,1,Australia,3.5
96,Brunei Darussalam,2015,exports,2,Singapore,3.5
96,Brunei Darussalam,2015,exports,3,China,1.5
96,Brunei Darussalam,2015,imports,1,Malaysia,21.2
96,Brunei Darussalam,2015,imports,2,United Arab Emirates,0.2
96,Brunei Darussalam,2015,imports,3,China,10.4
96,Brunei Darussalam,2020,exports,1,Australia,5.0
96,Brunei Darussalam,2020,exports,2,Singapore,21.3
96,Brunei Darussalam,2020,exports,3,China,17.7
96,Brunei Darussalam,2020,imports,1,Malaysia,17.4
96,Brunei Darussalam,2020,imports,2,United Arab Emirates,4.3
96,Brunei Darussalam,2020,imports,3,China,10.8
96,Brunei Darussalam,2024,exports,1,Australia,21.6
96,Brunei Darussalam,2024,exports,2,Singapore,17.1
96,Brunei Darussalam,2024,exports,3,China,16.7
96,Brunei Darussalam,2024,imports,1,Malaysia,26.4
96,Brunei Darussalam,2024,imports,2,United Arab Emirates,10.9
96,Brunei Darussalam,2024,imports,3,China,10.5
100,Bulgaria,2015,exports,1,Germany,13.3
100,Bulgaria,2015,exports,2,Romania,9.0
100,Bulgaria,2015,exports,3,Italy,9.2
100,Bulgaria,2015,imports,1,China,3.7
100,Bulgaria,2015,imports,2,Germany,12.9
100,Bulgaria,2015,imports,3,Türkiye,5.7
100,Bulgaria,2020,exports,1,Germany,17.7
100,Bulgaria,2020,exports,2,Romania,8.8
100,Bulgaria,2020,exports,3,Italy,7.0
100,Bulgaria,2020,imports,1,China,5.1
100,Bulgaria,2020,imports,2,Germany,12.1
100,Bulgaria,2020,imports,3,Türkiye,7.1
100,Bulgaria,2024,exports,1,Germany,15.2
100,Bulgaria,2024,exports,2,Romania,9.9
100,Bulgaria,2024,exports,3,Italy,6.9
100,Bulgaria,2024,imports,1,China,10.5
100,Bulgaria,2024,imports,2,Germany,10.3
100,Bulgaria,2024,imports,3,Türkiye,8.8
854,Burkina Faso,2015,exports,1,Switzerland,49.7
854,Burkina Faso,2015,exports,2,United Arab Emirates,0.5
854,Burkina Faso,2015,exports,3,Côte dIvoire,3.6
854,Burkina Faso,2015,imports,1,China,12.1
854,Burkina Faso,2015,imports,2,Côte dIvoire,8.3
854,Burkina Faso,2015,imports,3,Russian Federation,2.0
854,Burkina Faso,2020,exports,1,Switzerland,76.3
854,Burkina Faso,2020,exports,2,United Arab Emirates,0.3
854,Burkina Faso,2020,exports,3,Côte dIvoire,2.9
854,Burkina Faso,2020,imports,1,China,12.4
854,Burkina Faso,2020,imports,2,Côte dIvoire,8.2
854,Burkina Faso,2020,imports,3,Russian Federation,6.9
854,Burkina Faso,2024,exports,1,Switzerland,56.2
854,Burkina Faso,2024,exports,2,United Arab Emirates,26.2
854,Burkina Faso,2024,exports,3,Côte dIvoire,2.9
854,Burkina Faso,2024,imports,1,China,15.8
854,Burkina Faso,2024,imports,2,Côte dIvoire,15.3
854,Burkina Faso,2024,imports,3,Russian Federation,11.7
108,Burundi,2015,exports,1,United Arab Emirates,12.7
108,Burundi,2015,exports,2,Dem. Rep. of Congo,24.8
108,Burundi,2015,exports,3,Switzerland,19.8
108,Burundi,2015,imports,1,Saudi Arabia,6.3
108,Burundi,2015,imports,2,China,12.6
108,Burundi,2015,imports,3,United Arab Emirates,4.9
108,Burundi,2020,exports,1,United Arab Emirates,32.4
108,Burundi,2020,exports,2,Dem. Rep. of Congo,19.7
108,Burundi,2020,exports,3,Switzerland,5.0
108,Burundi,2020,imports,1,Saudi Arabia,11.8
108,Burundi,2020,imports,2,China,15.7
108,Burundi,2020,imports,3,United Arab Emirates,6.9
108,Burundi,2024,exports,1,United Arab Emirates,28.0
108,Burundi,2024,exports,2,Dem. Rep. of Congo,18.6
108,Burundi,2024,exports,3,Switzerland,9.5
108,Burundi,2024,imports,1,Saudi Arabia,14.7
108,Burundi,2024,imports,2,China,14.1
108,Burundi,2024,imports,3,United Arab Emirates,13.9
132,Cabo Verde,2015,exports,2,Spain,69.0
132,Cabo Verde,2015,exports,3,Portugal,14.1
132,Cabo Verde,2015,imports,1,Portugal,43.6
132,Cabo Verde,2015,imports,2,Saudi Arabia,0.0
132,Cabo Verde,2015,imports,3,Spain,7.3
132,Cabo Verde,2020,exports,1,Areas nes,0.1
132,Cabo Verde,2020,exports,2,Spain,63.0
132,Cabo Verde,2020,exports,3,Portugal,15.1
132,Cabo Verde,2020,imports,1,Portugal,42.0
132,Cabo Verde,2020,imports,2,Saudi Arabia,0.0
132,Cabo Verde,2020,imports,3,Spain,8.5
132,Cabo Verde,2024,exports,1,Areas nes,39.3
132,Cabo Verde,2024,exports,2,Spain,19.2
132,Cabo Verde,2024,exports,3,Portugal,14.7
132,Cabo Verde,2024,imports,1,Portugal,30.4
132,Cabo Verde,2024,imports,2,Saudi Arabia,11.5
132,Cabo Verde,2024,imports,3,Spain,8.3
116,Cambodia,2015,exports,1,United States,25.0
116,Cambodia,2015,exports,2,China,4.7
116,Cambodia,2015,exports,3,Viet Nam,2.2
116,Cambodia,2015,imports,1,China,36.8
